Condition,Model,RAG_type,Scale,Item_Text,disc_score,loading_CI,loading_PE,cosine_sim
gpt × Re-Ranked RAG,gpt,Re-Ranked RAG,Perseverance of Effort,I tend to quit when my efforts do not yield quick results.,0.039,0.478,0.245,0.3677
gpt × Re-Ranked RAG,gpt,Re-Ranked RAG,Perseverance of Effort,"I believe in completing what I've started, no matter the hurdles.",0.1833,-0.035,0.758,0.5583
gpt × Re-Ranked RAG,gpt,Re-Ranked RAG,Perseverance of Effort,I frequently allow challenges to deter my progress.,0.0877,0.592,0.211,0.4414
gpt × Re-Ranked RAG,gpt,Re-Ranked RAG,Perseverance of Effort,I am determined to see my projects through to the end.,0.0792,-0.085,0.792,0.4956
gpt × Re-Ranked RAG,gpt,Re-Ranked RAG,Perseverance of Effort,I often feel discouraged and stop trying during tough times.,0.1279,0.583,0.132,0.4148
gpt × Re-Ranked RAG,gpt,Re-Ranked RAG,Perseverance of Effort,I am resilient in the face of adversity.,0.1998,0.102,0.54,0.4658
gpt × Re-Ranked RAG,gpt,Re-Ranked RAG,Perseverance of Effort,I am persistent and don’t easily lose sight of my goals.,0.0039,0.102,0.682,0.4675
gpt × Re-Ranked RAG,gpt,Re-Ranked RAG,Perseverance of Effort,Difficulties frequently disrupt my efforts.,0.1357,0.565,0.176,0.4514
gpt × Re-Ranked RAG,gpt,Re-Ranked RAG,Perseverance of Effort,I maintain my effort until the task is fully completed.,0.0633,0.009,0.715,0.5321
gpt × Re-Ranked RAG,gpt,Re-Ranked RAG,Perseverance of Effort,I often feel overwhelmed and stop pursuing my goals.,-0.0354,0.618,0.154,0.3565
gpt × Re-Ranked RAG,gpt,Re-Ranked RAG,Perseverance of Effort,I thrive on challenges and pursue them relentlessly.,0.0473,0.129,0.606,0.4024
gpt × Re-Ranked RAG,gpt,Re-Ranked RAG,Perseverance of Effort,I often feel like giving up when the going gets tough.,0.1254,0.566,0.136,0.3816
gpt × Re-Ranked RAG,gpt,Re-Ranked RAG,Perseverance of Effort,I work diligently even when success seems unlikely.,0.1616,0.016,0.732,0.5354
gpt × Re-Ranked RAG,gpt,Re-Ranked RAG,Perseverance of Effort,I lose faith in myself when I encounter setbacks.,0.1984,0.406,0.294,0.4536
gpt × Re-Ranked RAG,gpt,Re-Ranked RAG,Perseverance of Effort,I remain committed to my tasks regardless of issues.,0.0375,-0.018,0.774,0.478
gpt × Re-Ranked RAG,gpt,Re-Ranked RAG,Perseverance of Effort,I let frustration derail my projects too often.,-0.0084,0.717,0.02,0.3723
gpt × Re-Ranked RAG,gpt,Re-Ranked RAG,Perseverance of Effort,I navigate setbacks without losing sight of my objectives.,0.0935,0.138,0.616,0.5353
gpt × Re-Ranked RAG,gpt,Re-Ranked RAG,Perseverance of Effort,I allow negative experiences to influence my productivity.,0.0557,0.367,0.262,0.3467
gpt × Re-Ranked RAG,gpt,Re-Ranked RAG,Perseverance of Effort,I strive to finish despite facing significant hurdles.,0.2394,0.053,0.744,0.6257
gpt × Re-Ranked RAG,gpt,Re-Ranked RAG,Perseverance of Effort,I find myself abandoning tasks when they become challenging.,0.0677,0.657,0.138,0.4508
gpt × Re-Ranked RAG,gpt,Re-Ranked RAG,Perseverance of Effort,I keep my focus and energy even when problems arise.,-0.0368,0.168,0.574,0.4492
gpt × Re-Ranked RAG,gpt,Re-Ranked RAG,Perseverance of Effort,I surrender my efforts when I feel things are too difficult.,0.0362,0.419,0.278,0.3671
gpt × Re-Ranked RAG,gpt,Re-Ranked RAG,Perseverance of Effort,I hold onto my goals even when progress stalls.,0.044,0.173,0.623,0.5079
gpt × Re-Ranked RAG,gpt,Re-Ranked RAG,Perseverance of Effort,I can quickly become disheartened by challenges.,0.1014,0.638,0.13,0.4059
gpt × Re-Ranked RAG,gpt,Re-Ranked RAG,Perseverance of Effort,I approach difficult tasks with determination.,0.1365,0.073,0.719,0.5306
gpt × Re-Ranked RAG,gpt,Re-Ranked RAG,Perseverance of Effort,I am easily discouraged by obstacles in my path.,0.0944,0.51,0.26,0.3939
gpt × Re-Ranked RAG,gpt,Re-Ranked RAG,Perseverance of Effort,I take setbacks as motivation to work harder.,0.2311,0.201,0.472,0.5336
gpt × Re-Ranked RAG,gpt,Re-Ranked RAG,Perseverance of Effort,Difficulty often leads me to reconsider my efforts.,0.0648,0.652,0.134,0.4421
gpt × Re-Ranked RAG,gpt,Re-Ranked RAG,Perseverance of Effort,"I remain enthusiastic about my work, despite challenges.",0.1083,0.139,0.616,0.4842
gpt × Re-Ranked RAG,gpt,Re-Ranked RAG,Perseverance of Effort,I feel tempted to quit when I encounter frustrating issues.,0.0629,0.591,0.091,0.3355
llama × No-RAG,llama,No-RAG,Consistency of Interest,I often find myself fully committed to a single goal.,0.2185,0.575,0.225,0.6231
llama × No-RAG,llama,No-RAG,Consistency of Interest,New ideas rarely distract me from my current project.,0.1984,0.698,-0.062,0.4845
llama × No-RAG,llama,No-RAG,Consistency of Interest,It's hard for me to resist exploring new hobbies.,0.0898,0.588,0.074,0.4005
llama × No-RAG,llama,No-RAG,Consistency of Interest,I get bored with tasks that require a long time to complete.,0.0096,0.792,-0.108,0.3136
llama × No-RAG,llama,No-RAG,Consistency of Interest,My goals tend to remain the same over time.,0.113,0.385,0.29,0.4367
llama × No-RAG,llama,No-RAG,Consistency of Interest,I frequently switch between different activities to avoid boredom.,0.1141,0.738,-0.146,0.375
llama × No-RAG,llama,No-RAG,Consistency of Interest,"A single, long-term objective drives most of my decisions.",0.1904,0.415,0.286,0.5114
llama × No-RAG,llama,No-RAG,Consistency of Interest,Shifting priorities is not a problem for me.,0.1408,0.525,0.096,0.42
llama × No-RAG,llama,No-RAG,Consistency of Interest,Jumping between tasks helps me stay energized and motivated.,-0.0113,0.571,0.086,0.4056
llama × No-RAG,llama,No-RAG,Consistency of Interest,My interests remain stable even when circumstances change.,0.0899,0.378,0.243,0.4409
llama × No-RAG,llama,No-RAG,Consistency of Interest,Exploring various interests is more fun than focusing on one.,0.2379,0.692,-0.193,0.4433
llama × No-RAG,llama,No-RAG,Consistency of Interest,I prioritize completing my current task over starting a new one.,0.0847,0.723,0.04,0.4957
llama × No-RAG,llama,No-RAG,Consistency of Interest,The thrill of a new project often leads me to abandon the old.,0.0831,0.707,-0.035,0.3937
llama × No-RAG,llama,No-RAG,Consistency of Interest,"When faced with a problem, I usually try to find one solution and stick to it.",0.0529,0.429,0.267,0.4149
llama × No-RAG,llama,No-RAG,Consistency of Interest,Completing a task is more important to me than exploring new ideas.,0.0411,0.646,0.077,0.4575
llama × No-RAG,llama,No-RAG,Consistency of Interest,A multitude of projects competing for my attention can be overwhelming.,0.1776,0.759,-0.102,0.4852
llama × No-RAG,llama,No-RAG,Consistency of Interest,New experiences are essential to prevent stagnation in my life.,0.0146,0.373,0.228,0.3254
llama × No-RAG,llama,No-RAG,Consistency of Interest,The idea of dedicating years to one pursuit seems appealing to me.,0.1689,0.54,0.044,0.4893
llama × No-RAG,llama,No-RAG,Consistency of Interest,Abandoning a goal mid-way is not something I usually do.,-0.0397,0.474,0.171,0.3608
llama × No-RAG,llama,No-RAG,Consistency of Interest,It's essential for me to try out different activities to find the best fit.,0.0099,0.458,0.103,0.2535
llama × No-RAG,llama,No-RAG,Consistency of Interest,Pursuing one major goal at a time is my preferred approach.,0.1918,0.574,0.118,0.5579
llama × No-RAG,llama,No-RAG,Consistency of Interest,"If a task doesn't immediately capture my interest, I tend to move on.",0.1014,0.821,-0.116,0.3894
llama × No-RAG,llama,No-RAG,Consistency of Interest,Devoting myself to a single cause is crucial for achieving success.,0.2347,0.297,0.351,0.6349
llama × No-RAG,llama,No-RAG,Consistency of Interest,Constantly changing my focus helps keep my mind sharp.,0.2443,0.531,0.118,0.5544
llama × No-RAG,llama,No-RAG,Consistency of Interest,My interests evolve rapidly as I learn more about the world.,0.1487,0.482,0.032,0.2649
llama × No-RAG,llama,No-RAG,Consistency of Interest,"When working on a project, I try to avoid distractions and stay focused.",0.1917,0.606,0.102,0.5973
llama × No-RAG,llama,No-RAG,Consistency of Interest,Long-term dedication to a single pursuit can be suffocating.,0.2266,0.553,0.077,0.6417
llama × No-RAG,llama,No-RAG,Consistency of Interest,Staying on track with my current project is relatively easy for me.,0.0462,0.529,0.168,0.462
llama × No-RAG,llama,No-RAG,Consistency of Interest,I'm not tempted by new opportunities when I'm mid-project.,0.1323,0.625,0.025,0.4505
llama × No-RAG,llama,No-RAG,Consistency of Interest,Focusing on one task for an extended period bores me.,0.2217,0.769,-0.099,0.5465
llama × No-RAG,llama,No-RAG,Consistency of Interest,A multitude of options for projects often leaves me indecisive.,0.1028,0.747,-0.134,0.3697
llama × No-RAG,llama,No-RAG,Consistency of Interest,I'm inclined to thoroughly explore one subject rather than skimming many.,0.2105,0.675,-0.13,0.4014
llama × No-RAG,llama,No-RAG,Consistency of Interest,Starting a new project before finishing the current one is common for me.,0.0297,0.729,-0.077,0.4179
llama × No-RAG,llama,No-RAG,Consistency of Interest,Completing a task from start to finish without interruption is satisfying.,-0.1291,0.507,0.11,0.4466
llama × No-RAG,llama,No-RAG,Consistency of Interest,It's challenging for me to settle on just one thing I want to achieve.,0.127,0.517,0.223,0.4899
llama × No-RAG,llama,No-RAG,Consistency of Interest,"My long-term goals rarely change, even when faced with setbacks.",-0.0146,0.28,0.486,0.4531
llama × No-RAG,llama,No-RAG,Perseverance of Effort,"I always push myself to finish what I start, even when it gets tough.",0.1875,0.241,0.574,0.5615
llama × No-RAG,llama,No-RAG,Perseverance of Effort,I am willing to put in extra effort to achieve my long-term goals.,0.079,0.117,0.635,0.4285
llama × No-RAG,llama,No-RAG,Perseverance of Effort,Difficulty motivates me to work even harder to succeed.,0.1087,0.068,0.678,0.4459
llama × No-RAG,llama,No-RAG,Perseverance of Effort,I tend to abandon projects that are not going as smoothly as I had hoped.,0.0414,0.566,0.14,0.382
llama × No-RAG,llama,No-RAG,Perseverance of Effort,My determination to succeed helps me overcome setbacks and failures.,0.196,-0.115,0.901,0.5596
llama × No-RAG,llama,No-RAG,Perseverance of Effort,I often find myself procrastinating when faced with challenging tasks.,0.0787,0.532,0.224,0.4182
llama × No-RAG,llama,No-RAG,Perseverance of Effort,"When I encounter a problem, I try to find a way around it and continue moving forward.",0.1499,0.232,0.492,0.4489
llama × No-RAG,llama,No-RAG,Perseverance of Effort,"I am committed to seeing my projects through to completion, no matter what.",0.0672,0.257,0.496,0.4801
llama × No-RAG,llama,No-RAG,Perseverance of Effort,I usually start strong but lose momentum as tasks become more difficult.,0.1366,0.498,0.272,0.5223
llama × No-RAG,llama,No-RAG,Perseverance of Effort,Challenging situations make me more persistent and driven to succeed.,0.1448,-0.001,0.797,0.4993
llama × No-RAG,llama,No-RAG,Perseverance of Effort,I have a hard time sticking with a task when it becomes boring or tedious.,0.0145,0.697,0.059,0.3946
llama × No-RAG,llama,No-RAG,Perseverance of Effort,"My goals are important to me, and I will do whatever it takes to achieve them.",0.0242,0.02,0.709,0.3619
llama × No-RAG,llama,No-RAG,Perseverance of Effort,I often struggle to maintain my focus and motivation over the long term.,-0.0721,0.489,0.266,0.419
llama × No-RAG,llama,No-RAG,Perseverance of Effort,"When I fail, I use it as an opportunity to learn and try again.",0.1544,0.109,0.55,0.3781
llama × No-RAG,llama,No-RAG,Perseverance of Effort,I am not afraid to take on difficult tasks and see them through to the end.,0.1819,0.183,0.595,0.521
llama × No-RAG,llama,No-RAG,Perseverance of Effort,I sometimes lack the stamina to push through and finish what I started.,0.1559,0.497,0.239,0.4889
llama × No-RAG,llama,No-RAG,Perseverance of Effort,I believe that perseverance is essential for achieving success in any area of life.,0.0897,-0.033,0.687,0.4864
llama × No-RAG,llama,No-RAG,Perseverance of Effort,Giving up on a task is often the easiest and most appealing option for me.,-0.0083,0.627,0.087,0.3902
llama × No-RAG,llama,No-RAG,Perseverance of Effort,"I am driven to succeed, even when the journey gets long and arduous.",0.1154,0.018,0.786,0.4651
llama × No-RAG,llama,No-RAG,Perseverance of Effort,"When faced with a difficult decision, I tend to put it off rather than tackle it head-on.",0.0425,0.5,0.18,0.3534
llama × No-RAG,llama,No-RAG,Perseverance of Effort,My resolve strengthens when I am faced with opposition or criticism.,0.0566,0.024,0.619,0.3896
llama × No-RAG,llama,No-RAG,Perseverance of Effort,I have trouble maintaining my enthusiasm and energy for extended periods.,0.0007,0.455,0.186,0.3971
llama × No-RAG,llama,No-RAG,Perseverance of Effort,Frustration can cause me to lose my cool and abandon a task altogether.,0.0474,0.42,0.196,0.3673
llama × No-RAG,llama,No-RAG,Perseverance of Effort,I am more likely to give up on a task if I do not see immediate results.,0.0569,0.463,0.287,0.4027
llama × No-RAG,llama,No-RAG,Perseverance of Effort,Overcoming obstacles is what drives me to continue striving for excellence.,0.1349,-0.036,0.822,0.539
llama × No-RAG,llama,No-RAG,Perseverance of Effort,Setbacks and failures make me question my ability to succeed.,0.2138,0.045,0.641,0.4818
llama × No-RAG,llama,No-RAG,Perseverance of Effort,"When a task becomes too difficult, I look for ways to simplify it or ask for help.",0.082,0.465,0.19,0.3609
llama × No-RAG,llama,No-RAG,Perseverance of Effort,I am passionate about my goals and will persevere through any challenges that come my way.,0.0945,-0.021,0.837,0.4913
llama × No-RAG,llama,No-RAG,Perseverance of Effort,I can be deterred by fear of failure or making mistakes.,0.0552,0.224,0.446,0.3646
llama × No-RAG,llama,No-RAG,Perseverance of Effort,Achieving my goals is more important to me than avoiding discomfort or hard work.,0.0652,0.227,0.529,0.4517
llama × No-RAG,llama,No-RAG,Perseverance of Effort,"When things get tough, I remind myself why my goals are important and keep pushing forward.",0.1071,0.056,0.696,0.4877
llama × No-RAG,llama,No-RAG,Perseverance of Effort,Difficulty and adversity make me more determined to prove myself and succeed.,0.1872,-0.128,0.831,0.4602
llama × RAG,llama,RAG,Consistency of Interest,I can focus on a goal without getting bored.,0.1883,0.585,0.159,0.5479
llama × RAG,llama,RAG,Consistency of Interest,My interests often change suddenly.,0.1713,0.773,-0.184,0.3305
llama × RAG,llama,RAG,Consistency of Interest,I prioritize completing a task over exploring new ideas.,0.1235,0.601,0.15,0.5183
llama × RAG,llama,RAG,Consistency of Interest,New projects rarely distract me from my current goals.,0.1997,0.698,0.06,0.545
llama × RAG,llama,RAG,Consistency of Interest,I have a hard time sticking to one hobby.,0.1527,0.754,-0.066,0.452
llama × RAG,llama,RAG,Consistency of Interest,It's easy for me to set aside enticing opportunities that aren't relevant to my main objective.,0.1657,0.693,0.029,0.4382
llama × RAG,llama,RAG,Consistency of Interest,I struggle to commit to long-term plans.,0.0519,0.57,0.2,0.4213
llama × RAG,llama,RAG,Consistency of Interest,Finishing what I start is more important to me than trying something new.,-0.0235,0.552,0.165,0.472
llama × RAG,llama,RAG,Consistency of Interest,My attention is drawn to whatever is novel and exciting.,0.19,0.664,-0.145,0.3569
llama × RAG,llama,RAG,Consistency of Interest,I can concentrate on a single objective for an extended period.,0.2436,0.592,0.094,0.6142
llama × RAG,llama,RAG,Consistency of Interest,Shifting between different activities helps me stay engaged.,0.1158,0.633,0.03,0.4498
llama × RAG,llama,RAG,Consistency of Interest,I don't let intriguing sidelines divert me from my primary aim.,0.2258,0.65,0.013,0.5039
llama × RAG,llama,RAG,Consistency of Interest,My mind often wanders to other pursuits when working on a task.,0.1218,0.699,0.029,0.4548
llama × RAG,llama,RAG,Consistency of Interest,"Once I start something, I see it through to completion.",-0.0682,0.508,0.205,0.4114
llama × RAG,llama,RAG,Consistency of Interest,It's challenging for me to resist the allure of new ventures.,0.1101,0.585,0.139,0.4453
llama × RAG,llama,RAG,Consistency of Interest,I make time for activities that align with my long-term goals.,0.0151,0.557,0.131,0.3832
llama × RAG,llama,RAG,Consistency of Interest,I find it difficult to settle on a single path and stick to it.,0.1147,0.651,0.095,0.481
llama × RAG,llama,RAG,Consistency of Interest,The latest trends rarely sway me from my established goals.,0.1085,0.553,0.125,0.4158
llama × RAG,llama,RAG,Consistency of Interest,I have a tendency to jump from one interest to another.,0.2052,0.832,-0.184,0.4121
llama × RAG,llama,RAG,Consistency of Interest,Devoting myself to one endeavor is not a problem for me.,0.1762,0.683,0.04,0.5553
llama × RAG,llama,RAG,Consistency of Interest,Constantly switching between projects is not my style.,0.1477,0.657,-0.041,0.4039
llama × RAG,llama,RAG,Consistency of Interest,New experiences frequently capture my attention and lead me astray.,0.1196,0.683,-0.051,0.3601
llama × RAG,llama,RAG,Consistency of Interest,Sustaining my enthusiasm for a single undertaking over time is tough.,0.0289,0.541,0.278,0.6276
llama × RAG,llama,RAG,Consistency of Interest,My daily activities are centered around my core objectives.,0.0945,0.528,0.1,0.4246
llama × RAG,llama,RAG,Consistency of Interest,A multitude of interests competes for my attention.,0.2319,0.79,-0.18,0.4129
llama × RAG,llama,RAG,Consistency of Interest,"Once engaged in a project, I am not easily swayed by alternatives.",0.1329,0.621,0.09,0.4648
llama × RAG,llama,RAG,Consistency of Interest,Pursuing multiple passions simultaneously is not my approach.,0.2089,0.689,-0.05,0.4616
llama × RAG,llama,RAG,Consistency of Interest,Dedicating myself to a single pursuit comes naturally to me.,0.2089,0.661,0.068,0.5821
llama × RAG,llama,RAG,Consistency of Interest,My diverse interests sometimes hinder my ability to focus.,0.1933,0.78,-0.05,0.4825
llama × RAG,llama,RAG,Consistency of Interest,The prospect of fresh challenges keeps me motivated and on track.,-0.0333,0.412,0.296,0.3949
llama × RAG,llama,RAG,Consistency of Interest,"When I start something, I am determined to finish it.",-0.0656,0.438,0.249,0.396
llama × RAG,llama,RAG,Consistency of Interest,Novelty seeking often interferes with my capacity to maintain focus.,0.179,0.649,-0.009,0.4321
llama × RAG,llama,RAG,Consistency of Interest,Staying true to my original intentions is a hallmark of my approach.,0.1019,0.512,0.1,0.4742
llama × RAG,llama,RAG,Perseverance of Effort,Push through challenges to achieve goals.,0.1571,-0.013,0.782,0.5781
llama × RAG,llama,RAG,Perseverance of Effort,Give up when tasks become frustrating.,0.056,0.122,0.661,0.4645
llama × RAG,llama,RAG,Perseverance of Effort,Continue working even when progress is slow.,0.1356,0.073,0.61,0.5228
llama × RAG,llama,RAG,Perseverance of Effort,Struggle to complete tasks when faced with obstacles.,0.1734,0.11,0.666,0.5823
llama × RAG,llama,RAG,Perseverance of Effort,Believe that hard work will eventually pay off.,0.2413,-0.124,0.633,0.4941
llama × RAG,llama,RAG,Perseverance of Effort,Quit when things don't go as planned.,0.0588,0.071,0.556,0.391
llama × RAG,llama,RAG,Perseverance of Effort,Stay motivated even in the face of failure.,0.1213,-0.037,0.772,0.5324
llama × RAG,llama,RAG,Perseverance of Effort,Easily get discouraged by setbacks.,0.1386,0.114,0.632,0.5311
llama × RAG,llama,RAG,Perseverance of Effort,Put in extra effort when needed to succeed.,0.1402,-0.036,0.714,0.5069
llama × RAG,llama,RAG,Perseverance of Effort,Feel a sense of accomplishment when overcoming hurdles.,0.2097,0.022,0.662,0.552
llama × RAG,llama,RAG,Perseverance of Effort,Tend to procrastinate when tasks seem too hard.,0.111,0.22,0.494,0.4402
llama × RAG,llama,RAG,Perseverance of Effort,Persist in the face of adversity to reach objectives.,0.1272,-0.034,0.801,0.6438
llama × RAG,llama,RAG,Perseverance of Effort,Stop trying when success seems unlikely.,0.0515,0.006,0.616,0.4074
llama × RAG,llama,RAG,Perseverance of Effort,Stay committed to long-term goals despite short-term obstacles.,0.0113,0.114,0.702,0.587
llama × RAG,llama,RAG,Perseverance of Effort,Avoid tasks that require sustained effort.,-0.0198,0.261,0.436,0.4552
llama × RAG,llama,RAG,Perseverance of Effort,Get back to work quickly after a setback.,0.193,-0.04,0.649,0.5425
llama × RAG,llama,RAG,Perseverance of Effort,Feel overwhelmed by complex tasks and give up.,-0.0161,0.203,0.507,0.3671
llama × RAG,llama,RAG,Perseverance of Effort,Keep working towards a goal even when it's no longer enjoyable.,0.063,0.152,0.621,0.5219
llama × RAG,llama,RAG,Perseverance of Effort,Refuse to let obstacles stand in the way of success.,0.0549,-0.08,0.722,0.4581
llama × RAG,llama,RAG,Perseverance of Effort,Stay focused on the end result to push through difficulties.,-0.012,0.066,0.71,0.5779
llama × RAG,llama,RAG,Perseverance of Effort,Lose motivation when faced with repeated failures.,0.0831,0.134,0.61,0.4774
llama × RAG,llama,RAG,Perseverance of Effort,Work diligently to overcome barriers to success.,0.127,-0.098,0.799,0.5255
llama × RAG,llama,RAG,Perseverance of Effort,Abandon tasks that require too much perseverance.,0.0272,0.236,0.52,0.4767
llama × RAG,llama,RAG,Perseverance of Effort,Strive to complete tasks despite feelings of exhaustion.,0.1222,0.051,0.739,0.5949
llama × RAG,llama,RAG,Perseverance of Effort,Avoid pushing myself too hard to avoid burnout.,-0.055,0.257,0.371,0.3502
llama × RAG,llama,RAG,Perseverance of Effort,Persevere through difficult times to achieve success.,0.2208,-0.129,0.85,0.6508
llama × RAG,llama,RAG,Perseverance of Effort,Work harder when faced with opposition or criticism.,0.0952,-0.093,0.691,0.4304
llama × RAG,llama,RAG,Perseverance of Effort,Easily become distracted from long-term goals.,-0.1745,0.507,0.259,0.3495
llama × RAG,llama,RAG,Perseverance of Effort,Stay on track even when faced with unexpected setbacks.,0.1616,0.046,0.693,0.5862
llama × RAG,llama,RAG,Perseverance of Effort,Feel a sense of pride in overcoming difficult challenges.,0.1914,-0.023,0.67,0.5369
llama × RAG,llama,RAG,Perseverance of Effort,Lack the stamina to complete long and demanding tasks.,0.1247,0.221,0.456,0.4758
llama × RAG,llama,RAG,Perseverance of Effort,Continue to strive for excellence even in the face of adversity.,0.1424,-0.101,0.779,0.5527
llama × RAG,llama,RAG,Perseverance of Effort,Give in to frustration when tasks seem insurmountable.,0.0812,0.038,0.704,0.4754
llama × Re-Ranked RAG,llama,Re-Ranked RAG,Consistency of Interest,Stick to one project until it's completed.,0.1974,0.751,-0.095,0.6131
llama × Re-Ranked RAG,llama,Re-Ranked RAG,Consistency of Interest,Avoid getting sidetracked by new ideas.,0.2484,0.527,0.05,0.5404
llama × Re-Ranked RAG,llama,Re-Ranked RAG,Consistency of Interest,Can focus on a single goal for a long time.,0.3035,0.698,-0.009,0.7479
llama × Re-Ranked RAG,llama,Re-Ranked RAG,Consistency of Interest,Often switch between different hobbies.,0.1524,0.625,-0.053,0.3922
llama × Re-Ranked RAG,llama,Re-Ranked RAG,Consistency of Interest,Usually finish what I start before moving on.,-0.0268,0.598,0.136,0.4569
llama × Re-Ranked RAG,llama,Re-Ranked RAG,Consistency of Interest,Tend to jump from one interest to another.,0.2073,0.664,-0.108,0.4343
llama × Re-Ranked RAG,llama,Re-Ranked RAG,Consistency of Interest,Make a plan and follow it through.,-0.026,0.377,0.182,0.3496
llama × Re-Ranked RAG,llama,Re-Ranked RAG,Consistency of Interest,Get bored with tasks that take too long.,-0.0095,0.698,0.02,0.3549
llama × Re-Ranked RAG,llama,Re-Ranked RAG,Consistency of Interest,Prioritize tasks to achieve long-term goals.,0.0044,0.628,0.093,0.4731
llama × Re-Ranked RAG,llama,Re-Ranked RAG,Consistency of Interest,Find it hard to settle on one career path.,0.0821,0.452,0.172,0.3919
llama × Re-Ranked RAG,llama,Re-Ranked RAG,Consistency of Interest,Have a hard time resisting new distractions.,0.1275,0.499,0.188,0.4822
llama × Re-Ranked RAG,llama,Re-Ranked RAG,Consistency of Interest,Normally see projects through to the end.,-0.1279,0.471,0.136,0.3807
llama × Re-Ranked RAG,llama,Re-Ranked RAG,Consistency of Interest,Seldom abandon tasks halfway through.,-0.0388,0.744,0.03,0.5162
llama × Re-Ranked RAG,llama,Re-Ranked RAG,Consistency of Interest,Easily get distracted by social media.,0.1867,0.528,-0.014,0.3402
llama × Re-Ranked RAG,llama,Re-Ranked RAG,Consistency of Interest,Stay on track even when tasks get tedious.,-0.0104,0.691,0.093,0.4788
llama × Re-Ranked RAG,llama,Re-Ranked RAG,Consistency of Interest,Tend to lose interest in activities quickly.,0.1035,0.633,-0.031,0.381
llama × Re-Ranked RAG,llama,Re-Ranked RAG,Consistency of Interest,Set and maintain clear priorities.,0.1838,0.546,0.084,0.5684
llama × Re-Ranked RAG,llama,Re-Ranked RAG,Consistency of Interest,Rarely change my mind about important goals.,0.1689,0.463,0.28,0.534
llama × Re-Ranked RAG,llama,Re-Ranked RAG,Consistency of Interest,Am often drawn to the latest trends.,0.09,0.311,0.174,0.2355
llama × Re-Ranked RAG,llama,Re-Ranked RAG,Consistency of Interest,Can maintain attention on a task for hours.,0.1005,0.771,-0.146,0.5416
llama × Re-Ranked RAG,llama,Re-Ranked RAG,Consistency of Interest,Frequently change my mind about what to do.,0.093,0.532,0.145,0.3554
llama × Re-Ranked RAG,llama,Re-Ranked RAG,Consistency of Interest,Stay engaged in activities even when they're challenging.,-0.0322,0.532,0.244,0.5107
llama × Re-Ranked RAG,llama,Re-Ranked RAG,Consistency of Interest,Usually follow through on my commitments.,-0.0589,0.375,0.249,0.3167
llama × Re-Ranked RAG,llama,Re-Ranked RAG,Consistency of Interest,Get restless when doing the same task repeatedly.,0.072,0.667,0.015,0.4402
llama × Re-Ranked RAG,llama,Re-Ranked RAG,Consistency of Interest,Focus on one task at a time to get it done.,0.2513,0.753,-0.07,0.6434
llama × Re-Ranked RAG,llama,Re-Ranked RAG,Consistency of Interest,Often find myself switching between tasks.,0.0692,0.71,0.006,0.4248
llama × Re-Ranked RAG,llama,Re-Ranked RAG,Consistency of Interest,Make a schedule and stick to it.,0.0157,0.499,0.049,0.333
llama × Re-Ranked RAG,llama,Re-Ranked RAG,Consistency of Interest,Seldom get tired of doing the same thing.,0.0589,0.551,0.086,0.4031
llama × Re-Ranked RAG,llama,Re-Ranked RAG,Consistency of Interest,Tend to explore many different fields of study.,0.1542,0.535,-0.104,0.3331
llama × Re-Ranked RAG,llama,Re-Ranked RAG,Consistency of Interest,Rarely procrastinate when faced with a task.,0.0247,0.535,0.187,0.4209
llama × Re-Ranked RAG,llama,Re-Ranked RAG,Consistency of Interest,Can work on a task without taking breaks.,-0.0153,0.73,-0.068,0.468
llama × Re-Ranked RAG,llama,Re-Ranked RAG,Consistency of Interest,Find it challenging to dedicate time to one task.,0.1063,0.719,0.075,0.5271
llama × Re-Ranked RAG,llama,Re-Ranked RAG,Consistency of Interest,Prioritize quality over exploring new ideas.,0.1993,0.467,0.125,0.5182
llama × Re-Ranked RAG,llama,Re-Ranked RAG,Consistency of Interest,Stay on one task even when it gets monotonous.,0.1393,0.85,-0.12,0.5536
llama × Re-Ranked RAG,llama,Re-Ranked RAG,Perseverance of Effort,Push through challenges to achieve goals.,0.1571,0.196,0.579,0.5781
llama × Re-Ranked RAG,llama,Re-Ranked RAG,Perseverance of Effort,Difficulty motivates me to work harder.,0.1101,0.134,0.556,0.4186
llama × Re-Ranked RAG,llama,Re-Ranked RAG,Perseverance of Effort,Overcoming obstacles is essential to success.,0.1494,-0.038,0.73,0.5378
llama × Re-Ranked RAG,llama,Re-Ranked RAG,Perseverance of Effort,Setbacks make me question my abilities.,0.1978,-0.038,0.723,0.4601
llama × Re-Ranked RAG,llama,Re-Ranked RAG,Perseverance of Effort,I remain committed to my objectives.,-0.0814,0.217,0.429,0.3645
llama × Re-Ranked RAG,llama,Re-Ranked RAG,Perseverance of Effort,Challenges are opportunities for growth and learning.,0.1,-0.062,0.603,0.3326
llama × Re-Ranked RAG,llama,Re-Ranked RAG,Perseverance of Effort,I often struggle to regain momentum after a failure.,0.1227,0.145,0.627,0.5245
llama × Re-Ranked RAG,llama,Re-Ranked RAG,Perseverance of Effort,My determination grows when faced with resistance.,0.1141,-0.058,0.782,0.4915
llama × Re-Ranked RAG,llama,Re-Ranked RAG,Perseverance of Effort,Hard work and persistence are essential for success.,0.186,0.101,0.513,0.5605
